VAR system, maximum lag order 24

The asterisks below indicate the best (that is, minimized) values
of the respective information criteria, AIC = Akaike criterion,
BIC = Schwarz Bayesian criterion and HQC = Hannan-Quinn criterion.

lags        loglik    p(LR)       AIC          BIC          HQC

   1     674.95679            -5.528569    -5.442066*   -5.493722*
   2     681.73007  0.00889   -5.551488    -5.407317    -5.493411 
   3     683.70937  0.41164   -5.534788    -5.332949    -5.453480 
   4     690.26652  0.01073   -5.555922    -5.296414    -5.451383 
   5     694.34376  0.08608   -5.556560    -5.239384    -5.428790 
   6     702.50695  0.00261   -5.590967*   -5.216122    -5.439966 
   7     704.02809  0.55077   -5.570480    -5.137967    -5.396248 
   8     706.14528  0.37521   -5.554920    -5.064738    -5.357457 
   9     708.14290  0.40665   -5.538371    -4.990521    -5.317678 
  10     708.73731  0.87994   -5.510226    -4.904708    -5.266301 
  11     710.04507  0.62408   -5.487976    -4.824789    -5.220820 
  12     718.02576  0.00307   -5.520874    -4.800019    -5.230488 
  13     721.65403  0.12294   -5.517802    -4.739279    -5.204185 
  14     723.83600  0.35899   -5.502777    -4.666585    -5.165929 
  15     726.15898  0.32559   -5.488917    -4.595057    -5.128838 
  16     729.47264  0.15694   -5.483245    -4.531717    -5.099935 
  17     731.92071  0.29812   -5.470419    -4.461222    -5.063878 
  18     741.18215  0.00098   -5.513902    -4.447037    -5.084130 
  19     743.64119  0.29581   -5.501167    -4.376633    -5.048164 
  20     745.01524  0.60083   -5.479465    -4.297263    -5.003231 
  21     746.35139  0.61407   -5.457450    -4.217579    -4.957985 
  22     750.32937  0.09321   -5.457267    -4.159729    -4.934572 
  23     751.30151  0.74600   -5.432244    -4.077037    -4.886318 
  24     752.42218  0.69147   -5.408448    -3.995572    -4.839291 
