VAR system, maximum lag order 24

The asterisks below indicate the best (that is, minimized) values
of the respective information criteria, AIC = Akaike criterion,
BIC = Schwarz Bayesian criterion and HQC = Hannan-Quinn criterion.

lags        loglik    p(LR)       AIC          BIC          HQC

   1     756.43456            -6.201939    -6.115436*   -6.167092*
   2     760.86890  0.06447   -6.205528*   -6.061357    -6.147451 
   3     761.60761  0.83063   -6.178575    -5.976736    -6.097267 
   4     764.38194  0.23549   -6.168446    -5.908938    -6.063907 
   5     766.44076  0.39032   -6.152403    -5.835227    -6.024633 
   6     766.60602  0.98776   -6.120711    -5.745866    -5.969710 
   7     772.97843  0.01259   -6.140318    -5.707805    -5.966086 
   8     774.77277  0.46452   -6.122089    -5.631908    -5.924626 
   9     776.11613  0.61154   -6.100133    -5.552284    -5.879440 
  10     778.16537  0.39284   -6.084011    -5.478493    -5.840087 
  11     779.96221  0.46378   -6.065803    -5.402617    -5.798648 
  12     786.19872  0.01416   -6.084287    -5.363432    -5.793901 
  13     789.14290  0.20764   -6.075561    -5.297038    -5.761944 
  14     789.37237  0.97737   -6.044400    -5.208208    -5.707552 
  15     792.03392  0.25572   -6.033338    -5.139478    -5.673259 
  16     797.49946  0.02735   -6.045450    -5.093922    -5.662140 
  17     798.20251  0.84314   -6.018203    -5.009006    -5.611662 
  18     804.70334  0.01127   -6.038871    -4.972005    -5.609099 
  19     812.34748  0.00414   -6.068987    -4.944454    -5.615985 
  20     815.67600  0.15516   -6.063438    -4.881236    -5.587205 
  21     816.04392  0.94684   -6.033421    -4.793550    -5.533956 
  22     817.83128  0.46661   -6.015135    -4.717596    -5.492439 
  23     820.38366  0.27672   -6.003171    -4.647964    -5.457245 
  24     822.27835  0.43526   -5.985771    -4.572896    -5.416614 
