VAR system, maximum lag order 24

The asterisks below indicate the best (that is, minimized) values
of the respective information criteria, AIC = Akaike criterion,
BIC = Schwarz Bayesian criterion and HQC = Hannan-Quinn criterion.

lags        loglik    p(LR)       AIC          BIC          HQC

   1   -1223.57904            10.161810    10.248313*   10.196657 
   2   -1212.84032  0.00025   10.106118*   10.250289    10.164196*
   3   -1210.47206  0.31542   10.119604    10.321443    10.200912 
   4   -1206.99758  0.13861   10.123947    10.383455    10.228486 
   5   -1203.69538  0.15833   10.129714    10.446890    10.257484 
   6   -1201.20266  0.28879   10.142171    10.517015    10.293172 
   7   -1199.60714  0.52638   10.162042    10.594555    10.336274 
   8   -1196.49467  0.18297   10.169377    10.659559    10.366840 
   9   -1194.99716  0.55866   10.190059    10.737909    10.410753 
  10   -1190.41562  0.05715   10.185253    10.790771    10.429178 
  11   -1188.59052  0.45541   10.203227    10.866414    10.470383 
  12   -1180.37321  0.00249   10.168374    10.889229    10.458760 
  13   -1178.08180  0.33284   10.182494    10.961018    10.496111 
  14   -1176.75625  0.61780   10.204597    11.040789    10.541445 
  15   -1171.87840  0.04475   10.197342    11.091202    10.557421 
  16   -1170.58496  0.62915   10.219710    11.171239    10.603020 
  17   -1168.56762  0.40133   10.236096    11.245293    10.642637 
  18   -1159.21633  0.00090   10.191870    11.258736    10.621642 
  19   -1153.31623  0.01890   10.176167    11.300701    10.629170 
  20   -1147.39498  0.01856   10.160289    11.342491    10.636523 
  21   -1143.77228  0.12347   10.163407    11.403278    10.662872 
  22   -1141.13691  0.26063   10.174685    11.472224    10.697380 
  23   -1139.99559  0.68393   10.198311    11.553518    10.744237 
  24   -1136.22285  0.10972   10.200189    11.613064    10.769346 
