VAR system, maximum lag order 24

The asterisks below indicate the best (that is, minimized) values
of the respective information criteria, AIC = Akaike criterion,
BIC = Schwarz Bayesian criterion and HQC = Hannan-Quinn criterion.

lags        loglik    p(LR)       AIC          BIC          HQC

   1     117.16559            -0.918724    -0.832221*   -0.883878 
   2     124.60129  0.00498   -0.947118    -0.802947    -0.889041 
   3     126.64404  0.39456   -0.930942    -0.729103    -0.849634 
   4     139.73510  0.00003   -1.006075    -0.746567    -0.901536*
   5     144.22664  0.06152   -1.010137*   -0.692961    -0.882368 
   6     147.08409  0.22148   -1.000695    -0.625850    -0.849694 
   7     149.07796  0.40767   -0.984115    -0.551602    -0.809884 
   8     151.44448  0.31580   -0.970616    -0.480434    -0.773153 
   9     153.75937  0.32744   -0.956689    -0.408839    -0.735995 
  10     153.97643  0.97959   -0.925425    -0.319907    -0.681501 
  11     155.32151  0.61094   -0.903484    -0.240297    -0.636328 
  12     159.53489  0.07714   -0.905247    -0.184392    -0.614861 
  13     160.59192  0.71479   -0.880925    -0.102402    -0.567308 
  14     161.67021  0.70699   -0.856779    -0.020587    -0.519931 
  15     163.09552  0.58313   -0.835500     0.058360    -0.475421 
  16     165.10299  0.40399   -0.819033     0.132495    -0.435723 
  17     167.37552  0.33724   -0.804756     0.204441    -0.398216 
  18     173.99804  0.01014   -0.826430     0.240435    -0.396658 
  19     178.33796  0.06962   -0.829239     0.295294    -0.376237 
  20     180.31077  0.41342   -0.812486     0.369716    -0.336252 
  21     182.70846  0.30894   -0.799243     0.440627    -0.299779 
  22     182.99099  0.96687   -0.768521     0.529018    -0.245825 
  23     188.01149  0.03974   -0.776954     0.578253    -0.231028 
  24     189.16602  0.67912   -0.753438     0.659437    -0.184281 
