VAR system, maximum lag order 24

The asterisks below indicate the best (that is, minimized) values
of the respective information criteria, AIC = Akaike criterion,
BIC = Schwarz Bayesian criterion and HQC = Hannan-Quinn criterion.

lags        loglik    p(LR)       AIC          BIC          HQC

   1     116.91655            -0.916666    -0.830163*   -0.881819 
   2     126.36879  0.00082   -0.961726    -0.817555    -0.903648 
   3     130.57711  0.07745   -0.963447    -0.761608    -0.882139 
   4     143.25149  0.00004   -1.035136*   -0.775629    -0.930597*
   5     145.67525  0.30330   -1.022109    -0.704933    -0.894340 
   6     148.53686  0.22079   -1.012701    -0.637857    -0.861700 
   7     150.80940  0.33724   -0.998425    -0.565912    -0.824193 
   8     153.26240  0.29708   -0.985640    -0.495458    -0.788177 
   9     156.90059  0.12198   -0.982649    -0.434800    -0.761956 
  10     157.82660  0.76295   -0.957245    -0.351726    -0.713320 
  11     160.10654  0.33550   -0.943029    -0.279843    -0.675874 
  12     166.65568  0.01081   -0.964097    -0.243242    -0.673710 
  13     169.98722  0.15480   -0.958572    -0.180049    -0.644955 
  14     170.77588  0.81286   -0.932032    -0.095840    -0.595184 
  15     175.39012  0.05564   -0.937108    -0.043248    -0.577029 
  16     176.96930  0.53168   -0.917102     0.034427    -0.533792 
  17     177.53028  0.89077   -0.888680     0.120517    -0.482139 
  18     185.61915  0.00279   -0.922472     0.144393    -0.492701 
  19     188.78595  0.17558   -0.915586     0.208947    -0.462584 
  20     190.83520  0.39284   -0.899464     0.282738    -0.423231 
  21     192.38944  0.53984   -0.879252     0.360619    -0.379787 
  22     193.18643  0.80987   -0.852780     0.444758    -0.330085 
  23     196.22765  0.19308   -0.844857     0.510351    -0.298930 
  24     197.63293  0.59001   -0.823413     0.589463    -0.254256 
