VAR system, maximum lag order 24

The asterisks below indicate the best (that is, minimized) values
of the respective information criteria, AIC = Akaike criterion,
BIC = Schwarz Bayesian criterion and HQC = Hannan-Quinn criterion.

lags        loglik    p(LR)       AIC          BIC          HQC

   1    -974.81751             8.105930     8.192432     8.140776 
   2    -959.75663  0.00000    8.014518*    8.158689*    8.072595*
   3    -958.37126  0.59689    8.036126     8.237965     8.117434 
   4    -953.16509  0.03403    8.026158     8.285666     8.130697 
   5    -950.87416  0.33295    8.040282     8.357458     8.168052 
   6    -949.05672  0.45767    8.058320     8.433165     8.209321 
   7    -947.29256  0.47359    8.076798     8.509311     8.251030 
   8    -944.39714  0.21532    8.085927     8.576108     8.283389 
   9    -943.49077  0.77015    8.111494     8.659344     8.332188 
  10    -943.06543  0.93153    8.141037     8.746555     8.384961 
  11    -940.94143  0.37348    8.156541     8.819727     8.423696 
  12    -933.08883  0.00344    8.124701     8.845556     8.415087 
  13    -931.08685  0.40547    8.141214     8.919737     8.454831 
  14    -928.74021  0.32024    8.154878     8.991069     8.491726 
  15    -928.24584  0.91150    8.183850     9.077710     8.543929 
  16    -926.54428  0.49276    8.202845     9.154374     8.586155 
  17    -924.48195  0.38940    8.218859     9.228056     8.625400 
  18    -909.21145  0.00000    8.125714     9.192580     8.555486 
  19    -905.27523  0.09636    8.126242     9.250775     8.579244 
  20    -903.57661  0.49368    8.145261     9.327463     8.621495 
  21    -902.05200  0.54962    8.165719     9.405589     8.665183 
  22    -901.48837  0.88992    8.194119     9.491658     8.716814 
  23    -895.70743  0.02092    8.179400     9.534608     8.725326 
  24    -894.92927  0.81662    8.206027     9.618903     8.775184 
