VAR system, maximum lag order 24

The asterisks below indicate the best (that is, minimized) values
of the respective information criteria, AIC = Akaike criterion,
BIC = Schwarz Bayesian criterion and HQC = Hannan-Quinn criterion.

lags        loglik    p(LR)       AIC          BIC          HQC

   1     840.77470            -6.898964    -6.812462*   -6.864118 
   2     849.83631  0.00117   -6.940796    -6.796625    -6.882719*
   3     852.00960  0.36113   -6.925699    -6.723860    -6.844391 
   4     858.83464  0.00850   -6.949047*   -6.689539    -6.844508 
   5     860.58083  0.47904   -6.930420    -6.613244    -6.802650 
   6     862.90135  0.32615   -6.916540    -6.541696    -6.765539 
   7     864.76111  0.44529   -6.898852    -6.466339    -6.724620 
   8     867.39381  0.26113   -6.887552    -6.397371    -6.690090 
   9     871.27494  0.10069   -6.886570    -6.338720    -6.665876 
  10     871.79809  0.90269   -6.857835    -6.252317    -6.613911 
  11     873.88029  0.38422   -6.841986    -6.178799    -6.574830 
  12     880.75340  0.00815   -6.865731    -6.144876    -6.575344 
  13     881.51677  0.82189   -6.838982    -6.060458    -6.525364 
  14     883.96848  0.29735   -6.826186    -5.989994    -6.489338 
  15     884.23744  0.96971   -6.795351    -5.901491    -6.435272 
  16     886.84467  0.26599   -6.783840    -5.832312    -6.400530 
  17     888.97791  0.37114   -6.768412    -5.759216    -6.361872 
  18     893.49414  0.06029   -6.772679    -5.705814    -6.342907 
  19     898.38689  0.04420   -6.780057    -5.655523    -6.327054 
  20     901.91646  0.13280   -6.776169    -5.593967    -6.299936 
  21     902.70278  0.81370   -6.749610    -5.509739    -6.250145 
  22     904.32805  0.51681   -6.729984    -5.432445    -6.207289 
  23     913.07127  0.00155   -6.769184    -5.413977    -6.223258 
  24     916.06664  0.19984   -6.760881    -5.348006    -6.191724 
