VAR system, maximum lag order 24

The asterisks below indicate the best (that is, minimized) values
of the respective information criteria, AIC = Akaike criterion,
BIC = Schwarz Bayesian criterion and HQC = Hannan-Quinn criterion.

lags        loglik    p(LR)       AIC          BIC          HQC

   1     772.13116            -6.331662    -6.245160*   -6.296816*
   2     778.83360  0.00946   -6.353997    -6.209826    -6.295919 
   3     784.00653  0.03499   -6.363690    -6.161851    -6.282382 
   4     791.42571  0.00505   -6.391948*   -6.132440    -6.287409 
   5     793.81793  0.31014   -6.378661    -6.061484    -6.250891 
   6     795.73252  0.42962   -6.361426    -5.986581    -6.210425 
   7     798.11874  0.31145   -6.348089    -5.915576    -6.173857 
   8     799.23729  0.69224   -6.324275    -5.834094    -6.126812 
   9     800.88744  0.50888   -6.304855    -5.757005    -6.084161 
  10     803.31030  0.30350   -6.291821    -5.686303    -6.047896 
  11     804.45232  0.68368   -6.268201    -5.605015    -6.001046 
  12     812.07298  0.00423   -6.298124    -5.577269    -6.007738 
  13     813.16649  0.70141   -6.274103    -5.495580    -5.960486 
  14     814.89982  0.48297   -6.255370    -5.419179    -5.918522 
  15     816.18893  0.63069   -6.232966    -5.339106    -5.872887 
  16     817.56171  0.60127   -6.211254    -5.259725    -5.827944 
  17     820.22565  0.25528   -6.200212    -5.191015    -5.793671 
  18     824.59507  0.06797   -6.203265    -5.136400    -5.773493 
  19     827.45595  0.22091   -6.193851    -5.069317    -5.740848 
  20     830.31221  0.22167   -6.184398    -5.002196    -5.708165 
  21     830.99265  0.85097   -6.156964    -4.917094    -5.657500 
  22     832.25985  0.63849   -6.134379    -4.836840    -5.611684 
  23     835.17709  0.21186   -6.125431    -4.770223    -5.579504 
  24     837.74338  0.27396   -6.113582    -4.700706    -5.544425 
