VAR system, maximum lag order 24

The asterisks below indicate the best (that is, minimized) values
of the respective information criteria, AIC = Akaike criterion,
BIC = Schwarz Bayesian criterion and HQC = Hannan-Quinn criterion.

lags        loglik    p(LR)       AIC          BIC          HQC

   1     831.80195            -6.824809    -6.738307*   -6.789963 
   2     841.72880  0.00053   -6.873792    -6.729621    -6.815714*
   3     845.93652  0.07749   -6.875508*   -6.673669    -6.794200 
   4     849.70863  0.10977   -6.873625    -6.614117    -6.769086 
   5     851.70813  0.40614   -6.857092    -6.539916    -6.729322 
   6     856.43806  0.05058   -6.863124    -6.488280    -6.712124 
   7     858.12488  0.49735   -6.844007    -6.411494    -6.669775 
   8     859.49625  0.60175   -6.822283    -6.332102    -6.624820 
   9     860.45993  0.74912   -6.797190    -6.249340    -6.576496 
  10     860.70524  0.97441   -6.766159    -6.160641    -6.522235 
  11     863.48032  0.23536   -6.756036    -6.092849    -6.488880 
  12     868.78856  0.03123   -6.766848    -6.045993    -6.476461 
  13     872.00767  0.16872   -6.760394    -5.981871    -6.446777 
  14     876.20124  0.07838   -6.761994    -5.925802    -6.425146 
  15     876.85174  0.86121   -6.734312    -5.840452    -6.374233 
  16     879.70417  0.22230   -6.724828    -5.773299    -6.341518 
  17     884.77340  0.03816   -6.733664    -5.724468    -6.327124 
  18     891.41063  0.01001   -6.755460    -5.688594    -6.325688 
  19     896.50444  0.03738   -6.764500    -5.639966    -6.311497 
  20     897.14231  0.86548   -6.736713    -5.554511    -6.260480 
  21     898.79060  0.50948   -6.717278    -5.477407    -6.217813 
  22     900.10629  0.62127   -6.695093    -5.397555    -6.172398 
  23     905.67997  0.02496   -6.708099    -5.352892    -6.162173 
  24     907.45280  0.47097   -6.689693    -5.276817    -6.120536 
