VAR system, maximum lag order 24

The asterisks below indicate the best (that is, minimized) values
of the respective information criteria, AIC = Akaike criterion,
BIC = Schwarz Bayesian criterion and HQC = Hannan-Quinn criterion.

lags        loglik    p(LR)       AIC          BIC          HQC

   1     803.49999            -6.590909    -6.504406*   -6.556063*
   2     808.52632  0.03955   -6.599391*   -6.455220    -6.541314 
   3     810.36834  0.45045   -6.581557    -6.379717    -6.500248 
   4     815.97257  0.02432   -6.594815    -6.335307    -6.490276 
   5     818.38914  0.30485   -6.581728    -6.264552    -6.453958 
   6     819.82271  0.58030   -6.560518    -6.185674    -6.409517 
   7     821.64899  0.45506   -6.542554    -6.110041    -6.368322 
   8     823.17089  0.55052   -6.522073    -6.031892    -6.324611 
   9     827.88467  0.05126   -6.527972    -5.980123    -6.307279 
  10     830.43913  0.27630   -6.516026    -5.910508    -6.272101 
  11     832.59036  0.36662   -6.500747    -5.837560    -6.233591 
  12     843.61385  0.00020   -6.558792    -5.837937    -6.268406 
  13     847.58697  0.09357   -6.558570    -5.780047    -6.244953 
  14     850.29766  0.24673   -6.547915    -5.711723    -6.211066 
  15     852.03965  0.48032   -6.529253    -5.635393    -6.169174 
  16     857.93074  0.01905   -6.544882    -5.593354    -6.161572 
  17     857.96251  0.99951   -6.512087    -5.502890    -6.105546 
  18     862.21918  0.07448   -6.514208    -5.447343    -6.084436 
  19     866.17337  0.09499   -6.513829    -5.389296    -6.060827 
  20     867.67564  0.55706   -6.493187    -5.310985    -6.016954 
  21     868.79805  0.69083   -6.469405    -5.229535    -5.969941 
  22     869.93708  0.68477   -6.445761    -5.148222    -5.923066 
  23     871.17580  0.64868   -6.422941    -5.067733    -5.877014 
  24     872.54075  0.60399   -6.401163    -4.988288    -5.832006 
