VAR system, maximum lag order 24

The asterisks below indicate the best (that is, minimized) values
of the respective information criteria, AIC = Akaike criterion,
BIC = Schwarz Bayesian criterion and HQC = Hannan-Quinn criterion.

lags        loglik    p(LR)       AIC          BIC          HQC

   1    -880.49294             7.326388     7.412891*    7.361234 
   2    -873.28334  0.00607    7.299862     7.444033     7.357940*
   3    -870.49835  0.23365    7.309904     7.511743     7.391212 
   4    -864.49030  0.01723    7.293308     7.552816     7.397847 
   5    -860.93715  0.13038    7.297001     7.614177     7.424771 
   6    -859.73028  0.66014    7.320085     7.694929     7.471086 
   7    -852.52221  0.00608    7.293572     7.726085     7.467804 
   8    -847.69968  0.04685    7.286774*    7.776956     7.484237 
   9    -845.19091  0.28550    7.299098     7.846948     7.519792 
  10    -842.22585  0.20443    7.307652     7.913170     7.551576 
  11    -839.78993  0.30070    7.320578     7.983764     7.587733 
  12    -833.87278  0.01863    7.304734     8.025589     7.595120 
  13    -833.07334  0.80900    7.331185     8.109708     7.644802 
  14    -831.56752  0.55588    7.351798     8.187989     7.688646 
  15    -831.19993  0.94692    7.381818     8.275678     7.741897 
  16    -828.95097  0.34279    7.396289     8.347818     7.779599 
  17    -828.66175  0.96543    7.426957     8.436153     7.833497 
  18    -821.56424  0.00670    7.401357     8.468223     7.831129 
  19    -813.58249  0.00307    7.368450     8.492984     7.821453 
  20    -810.85587  0.24387    7.378974     8.561176     7.855208 
  21    -810.40548  0.92445    7.408310     8.648180     7.907774 
  22    -809.06883  0.61389    7.430321     8.727860     7.953016 
  23    -803.88342  0.03462    7.420524     8.775731     7.966450 
  24    -800.02989  0.10292    7.421735     8.834610     7.990892 
