VAR system, maximum lag order 24

The asterisks below indicate the best (that is, minimized) values
of the respective information criteria, AIC = Akaike criterion,
BIC = Schwarz Bayesian criterion and HQC = Hannan-Quinn criterion.

lags        loglik    p(LR)       AIC          BIC          HQC

   1   -1173.45328             9.747548     9.834050*    9.782394*
   2   -1167.71486  0.02170    9.733181     9.877352     9.791258 
   3   -1165.07736  0.26023    9.744441     9.946280     9.825749 
   4   -1158.86858  0.01450    9.726187*    9.985694     9.830726 
   5   -1157.73199  0.68566    9.749851    10.067027     9.877621 
   6   -1155.60399  0.37247    9.765322    10.140167     9.916323 
   7   -1152.81240  0.23251    9.775309    10.207822     9.949541 
   8   -1150.60554  0.35290    9.790128    10.280310     9.987591 
   9   -1147.03196  0.12831    9.793653    10.341502    10.014346 
  10   -1143.83041  0.17100    9.800251    10.405769    10.044176 
  11   -1141.68813  0.36886    9.815604    10.478791    10.082760 
  12   -1133.80613  0.00335    9.783522    10.504377    10.073908 
  13   -1132.44594  0.60565    9.805338    10.583862    10.118956 
  14   -1130.17216  0.33695    9.819605    10.655796    10.156453 
  15   -1126.97728  0.17187    9.826259    10.720119    10.186337 
  16   -1125.32442  0.50802    9.845656    10.797185    10.228966 
  17   -1125.24118  0.99672    9.878026    10.887223    10.284567 
  18   -1121.42238  0.10579    9.879524    10.946389    10.309295 
  19   -1117.42425  0.09172    9.879539    11.004073    10.332542 
  20   -1114.18952  0.16673    9.885864    11.068066    10.362097 
  21   -1112.58626  0.52388    9.905672    11.145542    10.405136 
  22   -1109.31672  0.16235    9.911708    11.209247    10.434404 
  23   -1106.55127  0.23703    9.921911    11.277119    10.467837 
  24   -1105.23665  0.62165    9.944105    11.356980    10.513262 
