VAR system, maximum lag order 24

The asterisks below indicate the best (that is, minimized) values
of the respective information criteria, AIC = Akaike criterion,
BIC = Schwarz Bayesian criterion and HQC = Hannan-Quinn criterion.

lags        loglik    p(LR)       AIC          BIC          HQC

   1     775.62408            -6.360530    -6.274027*   -6.325683*
   2     781.88731  0.01384   -6.379234    -6.235063    -6.321157 
   3     783.63456  0.47871   -6.360616    -6.158777    -6.279308 
   4     791.17749  0.00453   -6.389897*   -6.130389    -6.285358 
   5     794.30910  0.18033   -6.382720    -6.065544    -6.254950 
   6     797.07154  0.23755   -6.372492    -5.997648    -6.221491 
   7     798.00664  0.75962   -6.347162    -5.914649    -6.172931 
   8     800.09123  0.38359   -6.331332    -5.841151    -6.133870 
   9     801.95273  0.44479   -6.313659    -5.765809    -6.092965 
  10     805.66931  0.11469   -6.311317    -5.705798    -6.067392 
  11     810.01105  0.06952   -6.314141    -5.650954    -6.046986 
  12     820.83283  0.00024   -6.370519    -5.649664    -6.080133 
  13     821.60527  0.81866   -6.343845    -5.565322    -6.030228 
  14     822.52436  0.76549   -6.318383    -5.482191    -5.981535 
  15     826.63845  0.08357   -6.319326    -5.425466    -5.959247 
  16     834.11713  0.00479   -6.348075    -5.396547    -5.964766 
  17     836.34663  0.34744   -6.333443    -5.324246    -5.926902 
  18     841.68797  0.03037   -6.344529    -5.277663    -5.914757 
  19     844.89473  0.17032   -6.337973    -5.213439    -5.884970 
  20     846.26923  0.60067   -6.316275    -5.134073    -5.840041 
  21     848.80299  0.28044   -6.304157    -5.064287    -5.804693 
  22     850.15568  0.60827   -6.282278    -4.984740    -5.759583 
  23     852.30814  0.36631   -6.267009    -4.911802    -5.721083 
  24     856.99945  0.05222   -6.272723    -4.859847    -5.703566 
