VAR system, maximum lag order 24

The asterisks below indicate the best (that is, minimized) values
of the respective information criteria, AIC = Akaike criterion,
BIC = Schwarz Bayesian criterion and HQC = Hannan-Quinn criterion.

lags        loglik    p(LR)       AIC          BIC          HQC

   1      89.77053            -0.692318    -0.605816*   -0.657472 
   2      97.29961  0.00458   -0.721484    -0.577313    -0.663407 
   3     104.04967  0.00907   -0.744212    -0.542373    -0.662904 
   4     112.90612  0.00140   -0.784348*   -0.524840    -0.679809*
   5     114.84823  0.42190   -0.767341    -0.450165    -0.639571 
   6     117.36165  0.28455   -0.755055    -0.380210    -0.604054 
   7     120.78805  0.14387   -0.750314    -0.317802    -0.576083 
   8     122.85445  0.38833   -0.734334    -0.244153    -0.536872 
   9     125.58523  0.24313   -0.723845    -0.175995    -0.503151 
  10     126.87799  0.62939   -0.701471    -0.095953    -0.457547 
  11     130.74582  0.10176   -0.700379    -0.037192    -0.433223 
  12     134.81502  0.08664   -0.700951     0.019904    -0.410564 
  13     135.56741  0.82580   -0.674111     0.104412    -0.360494 
  14     137.02895  0.57078   -0.653132     0.183060    -0.316284 
  15     138.40422  0.60040   -0.631440     0.262420    -0.271361 
  16     141.19862  0.23203   -0.621476     0.330052    -0.238166 
  17     144.34698  0.17806   -0.614438     0.394759    -0.207897 
  18     150.95501  0.01027   -0.635992     0.430873    -0.206220 
  19     153.24737  0.33262   -0.621879     0.502655    -0.168877 
  20     156.36319  0.18250   -0.614572     0.567630    -0.138338 
  21     157.43019  0.71113   -0.590332     0.649538    -0.090868 
  22     158.09485  0.85638   -0.562767     0.734771    -0.040072 
  23     164.36342  0.01377   -0.581516     0.773691    -0.035590 
  24     170.51316  0.01526   -0.599282     0.813593    -0.030125 
